Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Cust_Since(yrs),Num_Childrns,AcceptedCmp,Total_amt_spend,Total_Purchases,Age_Groups
Graduation,Married,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,52,11,1,2,1690,16,Mid_aged
Graduation,Married,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,71,11,1,2,1390,21,Old
PhD,Married,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,36,12,0,0,2126,20,Young
Master,Engaged,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,55,12,1,2,1531,25,Mid_aged
Master,Single,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,49,11,1,2,64,7,Mid_aged
Graduation,Single,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,39,11,1,2,26,6,Young
Graduation,Divorced,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,50,11,0,4,1112,29,Mid_aged
2n Cycle,Engaged,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,66,12,0,0,210,11,Old
Graduation,Engaged,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,57,12,2,0,1148,26,Mid_aged
PhD,Single,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,50,12,1,2,33,6,Mid_aged
PhD,Engaged,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,0,63,12,1,2,1101,19,Mid_aged
Graduation,Single,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,60,12,1,2,322,16,Mid_aged
Graduation,Single,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,60,11,2,0,44,10,Mid_aged
PhD,Single,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,67,11,3,0,17,4,Old
Graduation,Divorced,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,45,12,1,2,31,6,Young
PhD,Divorced,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,56,11,2,0,845,25,Mid_aged
Master,Married,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,54,10,1,2,275,15,Mid_aged
PhD,Married,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,46,12,1,2,25,4,Young
Master,Engaged,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,1,72,11,2,4,275,17,Old
Master,Married,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,0,58,11,2,0,90,11,Mid_aged
Graduation,Married,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,61,10,0,0,1495,19,Mid_aged
PhD,Married,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,0,1,54,12,2,4,184,11,Mid_aged
Graduation,Married,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,54,11,0,0,981,13,Mid_aged
Graduation,Engaged,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,54,11,1,2,67,8,Mid_aged
Graduation,Single,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,0,1,71,12,0,4,1635,14,Old
Master,Single,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,1,0,41,10,1,3,60,10,Young
PhD,Engaged,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,49,10,1,2,231,12,Mid_aged
Graduation,Married,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,0,0,64,10,2,0,48,10,Mid_aged
Graduation,Divorced,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,61,11,2,0,99,9,Mid_aged
PhD,Engaged,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,0,0,61,11,1,2,770,23,Mid_aged
Graduation,Single,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,0,1,68,11,0,4,957,23,Old
Master,Engaged,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,43,10,0,0,818,12,Young
PhD,Single,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,0,1,38,11,0,4,925,17,Young
Master,Divorced,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,56,11,1,2,908,22,Mid_aged
Basic,Married,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,43,11,1,2,102,10,Young
PhD,Engaged,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,0,0,50,10,1,2,461,15,Mid_aged
Master,Married,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,49,10,2,0,37,7,Mid_aged
Graduation,Married,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,50,11,1,2,70,7,Mid_aged
Graduation,Engaged,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,72,11,0,0,930,23,Old
Master,Engaged,50898.0,88,285,28,242,55,114,135,13,6,2,12,5,0,0,68,11,2,0,859,33,Old
Graduation,Widow,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,58,10,0,0,1478,22,Mid_aged
Master,Divorced,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,75,11,0,0,390,16,Old
2n Cycle,Engaged,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,0,0,40,11,0,0,52,5,Young
Graduation,Engaged,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,55,11,1,2,137,10,Mid_aged
Graduation,Married,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,44,12,0,0,1919,19,Young
Graduation,Engaged,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,53,10,2,0,68,9,Mid_aged
Graduation,Engaged,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,59,11,2,0,25,4,Mid_aged
Master,Engaged,55951.0,62,1241,0,80,0,13,40,3,3,6,11,8,0,0,72,12,1,2,1374,23,Old
2n Cycle,Divorced,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,36,11,1,2,32,5,Young
Master,Engaged,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,38,11,1,2,100,7,Young
Graduation,Single,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,42,11,0,0,825,12,Young
PhD,Divorced,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,0,0,59,10,1,2,916,28,Mid_aged
Graduation,Divorced,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,66,10,2,0,62,11,Old
2n Cycle,Engaged,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,0,0,68,11,1,2,728,21,Old
PhD,Married,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,46,10,1,2,90,7,Young
Graduation,Single,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,36,10,1,2,273,13,Young
Graduation,Engaged,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,40,11,1,2,66,10,Young
Master,Married,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,63,11,0,0,1213,23,Mid_aged
Graduation,Widow,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,0,1,58,12,0,4,107,7,Mid_aged
Graduation,Single,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,77,10,0,0,1157,18,Old
Master,Married,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,0,0,60,11,1,2,546,18,Mid_aged
Master,Engaged,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,32,11,0,0,241,11,Young
Graduation,Divorced,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,48,10,1,2,53,11,Mid_aged
Graduation,Married,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,57,11,3,0,37,7,Mid_aged
Master,Single,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,48,11,0,0,1508,23,Mid_aged
Graduation,Married,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,58,11,2,0,235,16,Mid_aged
Master,Engaged,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,0,0,68,10,2,0,32,7,Old
Graduation,Married,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,52,11,2,0,102,8,Mid_aged
Graduation,Single,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,39,12,1,2,401,15,Young
Graduation,Married,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,0,0,73,11,2,0,28,6,Old
Graduation,Married,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,0,0,53,11,1,2,680,21,Mid_aged
Graduation,Married,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,50,11,1,2,30,4,Mid_aged
PhD,Divorced,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,59,10,2,0,20,4,Mid_aged
PhD,Divorced,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,63,11,1,2,1307,23,Mid_aged
Graduation,Single,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,71,11,1,2,630,24,Old
Graduation,Married,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,67,11,0,0,1283,18,Old
PhD,Divorced,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,48,11,1,2,65,9,Mid_aged
Graduation,Married,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,40,11,1,2,37,5,Young
PhD,Married,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,74,11,3,0,38,5,Old
PhD,Single,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,38,11,1,2,160,12,Young
Graduation,Single,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,41,11,1,2,23,4,Young
PhD,Single,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,35,11,0,0,71,6,Young
PhD,Married,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,0,1,68,11,1,2,1161,19,Old
Master,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,53,11,1,2,59,5,Mid_aged
Graduation,Engaged,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,41,11,1,2,33,7,Young
Graduation,Divorced,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,64,12,2,0,946,22,Mid_aged
Graduation,Divorced,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,56,12,0,4,1442,22,Mid_aged
Graduation,Married,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,52,12,1,2,62,5,Mid_aged
Graduation,Engaged,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,1,59,11,0,4,1674,22,Mid_aged
PhD,Engaged,83532.0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,125,11,0,0,1853,15,Old
Graduation,Single,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,36,12,0,0,1538,21,Young
Graduation,Divorced,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,38,11,0,0,139,8,Young
PhD,Married,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,0,0,55,12,1,2,1182,20,Mid_aged
PhD,Engaged,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,0,0,74,11,1,2,507,18,Old
Basic,Engaged,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,0,1,51,11,1,2,18,4,Mid_aged
Graduation,Divorced,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,72,11,0,0,940,16,Old
Graduation,Married,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,59,11,2,0,42,6,Mid_aged
Graduation,Divorced,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,1,54,10,0,4,1190,15,Mid_aged
Graduation,Widow,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,53,12,2,0,44,8,Mid_aged
Master,Married,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,0,0,48,10,1,2,16,4,Mid_aged
Graduation,Married,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,67,11,1,2,835,26,Old
Graduation,Married,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,38,11,1,2,1443,22,Young
PhD,Single,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,0,1,58,11,0,4,1029,18,Mid_aged
Graduation,Married,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,50,12,0,0,1188,18,Mid_aged
PhD,Single,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,48,12,1,2,1277,24,Mid_aged
Graduation,Single,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,1,0,46,11,2,3,49,7,Young
Graduation,Married,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,0,0,69,11,1,2,99,7,Old
PhD,Married,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,55,12,0,0,1670,15,Mid_aged
Master,Married,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,1,0,81,11,0,3,900,14,Old
PhD,Engaged,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,0,0,76,11,2,0,425,16,Old
Graduation,Married,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,0,0,67,12,0,0,2153,22,Old
PhD,Widow,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,55,10,1,2,636,21,Mid_aged
Graduation,Married,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,46,10,2,0,57,10,Young
Graduation,Married,51479.0,67,247,8,160,6,8,65,7,6,3,6,7,0,0,57,12,2,0,494,22,Mid_aged
Graduation,Single,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,55,12,1,2,693,19,Mid_aged
Graduation,Married,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,64,11,0,0,1348,26,Mid_aged
Graduation,Divorced,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,48,11,1,2,51,7,Mid_aged
Graduation,Engaged,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,62,12,0,0,1932,16,Mid_aged
PhD,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,49,12,1,2,990,16,Mid_aged
2n Cycle,Married,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,40,10,1,2,30,5,Young
Graduation,Married,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,0,0,49,12,2,0,254,16,Mid_aged
Master,Single,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,0,0,54,11,1,2,29,5,Mid_aged
Graduation,Single,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,0,0,58,12,1,2,1371,23,Mid_aged
PhD,Single,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,1,52,11,2,4,73,9,Mid_aged
Master,Single,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,49,12,2,0,120,11,Mid_aged
Graduation,Single,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,0,1,54,11,0,4,81,5,Mid_aged
Graduation,Single,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,35,12,1,2,37,5,Young
PhD,Engaged,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,63,11,1,2,1377,20,Mid_aged
Graduation,Single,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,55,11,1,2,51,5,Mid_aged
PhD,Married,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,55,11,2,0,17,4,Mid_aged
Graduation,Married,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,39,11,1,2,22,4,Young
Graduation,Widow,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,70,12,0,0,324,14,Old
Master,Single,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,43,10,1,2,19,4,Young
Graduation,Single,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,53,11,1,2,41,8,Mid_aged
Master,Engaged,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,56,11,1,2,492,17,Mid_aged
Graduation,Engaged,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,64,12,1,2,1005,26,Mid_aged
Graduation,Engaged,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,0,0,75,12,1,2,114,7,Old
PhD,Divorced,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,56,11,2,0,1173,19,Mid_aged
Graduation,Engaged,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,45,10,0,0,1738,19,Young
Master,Engaged,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,45,11,1,2,222,12,Young
Graduation,Single,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,31,10,0,0,1127,16,Young
PhD,Married,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,78,11,0,0,209,10,Old
Master,Married,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,56,10,1,2,787,23,Mid_aged
PhD,Engaged,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,33,11,0,0,1598,24,Young
Graduation,Married,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,53,12,2,0,186,12,Mid_aged
Graduation,Engaged,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,0,1,40,12,1,2,47,6,Young
Graduation,Single,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,37,12,1,2,27,5,Young
2n Cycle,Engaged,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,0,1,44,12,1,2,96,11,Young
2n Cycle,Divorced,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,68,11,2,0,64,10,Old
Graduation,Engaged,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,59,12,0,0,1040,23,Mid_aged
Graduation,Single,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,50,11,2,0,163,13,Mid_aged
Graduation,Engaged,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,64,11,0,0,343,11,Mid_aged
PhD,Single,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,0,1,69,11,3,4,446,24,Old
Graduation,Married,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,0,0,59,10,2,0,41,5,Mid_aged
PhD,Single,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,1,52,12,1,2,70,9,Mid_aged
PhD,Divorced,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,53,10,2,0,272,14,Mid_aged
PhD,Engaged,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,50,11,1,2,46,6,Mid_aged
Graduation,Married,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,0,0,61,12,2,0,490,19,Mid_aged
2n Cycle,Single,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,0,1,42,12,1,2,79,8,Young
Graduation,Married,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,0,0,48,12,1,2,915,17,Mid_aged
PhD,Married,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,69,11,1,2,1485,35,Old
Graduation,Single,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,37,12,1,2,369,16,Young
Graduation,Engaged,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,0,0,62,11,1,2,1073,19,Mid_aged
PhD,Married,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,81,10,0,0,1242,19,Old
2n Cycle,Engaged,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,0,0,49,11,1,2,78,9,Mid_aged
Graduation,Engaged,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,0,30,10,0,0,1378,21,Young
Graduation,Single,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,0,1,43,11,0,4,1474,26,Young
Master,Married,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,53,11,2,0,751,29,Mid_aged
PhD,Married,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,51,10,1,2,48,7,Mid_aged
Master,Engaged,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,42,10,1,2,10,4,Young
Master,Married,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,50,11,0,4,1435,16,Mid_aged
PhD,Married,93027.0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,83,11,0,0,2119,22,Old
Graduation,Married,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,71,11,3,0,20,4,Old
Graduation,Married,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,0,0,38,10,0,0,1795,27,Young
Graduation,Married,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,0,0,35,10,1,2,1188,19,Young
2n Cycle,Engaged,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,35,10,1,2,43,7,Young
Graduation,Married,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,56,11,1,2,1008,24,Mid_aged
PhD,Single,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,63,11,0,4,1688,16,Mid_aged
Graduation,Married,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,35,12,1,2,684,21,Young
2n Cycle,Engaged,67309.0,76,515,47,181,149,95,95,15,9,6,9,7,0,0,57,11,2,0,1082,39,Mid_aged
Graduation,Married,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,0,0,60,11,1,2,1068,25,Mid_aged
Graduation,Single,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,54,10,1,2,57,7,Mid_aged
Master,Engaged,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,68,11,1,2,46,5,Old
Graduation,Divorced,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,58,11,1,2,733,23,Mid_aged
Master,Widow,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,75,11,1,2,467,17,Old
PhD,Married,32011.0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,53,11,1,2,122,10,Mid_aged
2n Cycle,Married,7500.0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,38,11,1,2,36,7,Young
Graduation,Married,28691.0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,35,11,1,2,34,5,Young
PhD,Married,56223.0,72,77,28,31,16,0,4,2,2,1,5,4,0,0,76,11,1,2,156,10,Old
Graduation,Married,18100.0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,78,11,0,0,14,4,Old
2n Cycle,Married,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,50,10,0,0,34,5,Mid_aged
Graduation,Divorced,23295.0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,65,11,0,0,20,4,Mid_aged
Master,Divorced,42618.0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,52,11,1,2,192,11,Mid_aged
Graduation,Single,81246.0,87,398,190,537,61,156,37,1,4,5,7,1,0,0,60,11,0,0,1379,17,Mid_aged
Graduation,Married,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,48,11,1,2,48,7,Mid_aged
PhD,Married,55707.0,91,208,7,82,30,66,35,2,3,2,9,3,0,0,71,11,1,2,428,16,Old
Graduation,Single,57959.0,71,430,16,322,43,24,33,5,4,7,11,3,0,0,69,11,1,2,868,27,Old
Graduation,Married,56796.0,24,656,38,161,62,47,37,3,8,9,7,7,0,0,55,11,1,2,1001,27,Mid_aged
Master,Single,36230.0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,53,11,1,2,59,7,Mid_aged
2n Cycle,Married,70829.0,87,141,70,106,72,19,23,2,4,2,8,3,0,0,44,11,2,0,431,16,Young
Graduation,Married,65991.0,21,507,19,364,25,47,9,3,9,5,10,7,0,0,48,12,1,2,971,27,Mid_aged
Graduation,Married,38988.0,90,164,24,103,12,3,42,7,5,1,6,8,0,0,52,12,3,0,348,19,Mid_aged
2n Cycle,Single,89572.0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,58,12,0,4,2059,24,Mid_aged
Master,Married,42207.0,71,116,11,72,3,17,46,4,4,1,5,6,0,1,40,11,1,2,265,14,Young
Graduation,Married,50300.0,52,143,15,60,24,23,5,2,2,1,8,2,0,0,72,10,1,2,270,13,Old
2n Cycle,Engaged,66664.0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,42,12,0,0,1289,19,Young
Graduation,Married,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,0,1,60,10,1,2,893,16,Mid_aged
Graduation,Widow,70165.0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,75,11,0,0,926,22,Old
PhD,Widow,50520.0,25,112,0,6,2,1,14,2,3,1,3,6,0,0,66,10,1,2,135,9,Old
Graduation,Married,33183.0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,49,10,1,2,120,9,Mid_aged
PhD,Single,66582.0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,55,10,0,0,1288,20,Mid_aged
PhD,Engaged,75261.0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,69,11,0,4,1743,17,Old
Graduation,Widow,31880.0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,54,12,1,2,15,4,Mid_aged
Graduation,Married,53790.0,86,335,42,127,28,5,5,3,7,2,8,6,0,0,73,10,2,0,542,20,Old
PhD,Engaged,49269.0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,53,12,1,2,890,25,Mid_aged
Graduation,Married,61456.0,47,563,76,384,84,192,89,4,6,10,13,4,0,0,49,11,1,2,1388,33,Mid_aged
Graduation,Married,37406.0,18,2,0,8,2,2,3,1,1,0,2,8,0,1,44,11,1,2,17,4,Young
PhD,Engaged,56937.0,81,746,8,125,11,8,8,7,8,6,9,6,0,1,43,12,1,2,906,30,Young
Graduation,Married,38415.0,91,22,1,13,4,0,4,2,1,0,3,7,0,0,46,11,2,0,44,6,Young
Graduation,Single,20518.0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,36,10,1,2,25,5,Young
Graduation,Married,62503.0,40,478,0,193,110,75,117,4,8,3,11,5,0,0,68,11,1,2,973,26,Old
PhD,Single,41644.0,67,20,3,4,2,0,2,2,1,0,3,3,0,0,52,10,2,0,31,6,Mid_aged
Master,Married,55842.0,19,451,0,39,0,4,24,1,7,1,8,5,0,0,47,10,1,2,518,17,Young
PhD,Married,62010.0,93,371,22,39,6,0,92,4,6,2,7,5,0,0,52,12,1,2,530,19,Mid_aged
Graduation,Married,41124.0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,47,12,1,2,506,21,Young
Master,Married,38961.0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,51,11,1,2,70,6,Mid_aged
Master,Divorced,37760.0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,52,11,1,2,54,6,Mid_aged
Graduation,Single,32233.0,26,138,15,35,25,11,72,2,6,2,2,9,0,1,50,12,1,2,296,12,Mid_aged
Graduation,Married,43057.0,30,213,2,44,0,2,5,4,4,2,5,5,0,0,49,11,1,2,266,15,Mid_aged
Master,Engaged,83151.0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,64,12,0,0,747,19,Mid_aged
PhD,Divorced,78825.0,35,483,74,114,169,37,18,1,5,10,13,3,0,1,60,12,0,4,895,29,Mid_aged
Master,Engaged,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,48,11,1,2,1053,17,Mid_aged
Graduation,Married,60093.0,92,502,12,109,16,6,90,2,7,2,10,6,0,0,50,11,1,2,735,21,Mid_aged
Graduation,Married,14045.0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,55,10,1,2,20,5,Mid_aged
2n Cycle,Widow,28457.0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,72,12,0,0,205,10,Old
